Age of Vehicle,Speed,Road Type,Traffic Conditions,Temperature,Wind Speed,NOx Emissions
21,100.9426446,Rural,Heavy,-4.859115289,17.34563875,0.337343606
12,114.3295921,City,Moderate,9.126042004,17.35325658,1.617226025
18,95.10446713,Rural,Moderate,6.087812515,11.59458082,1.774667479
29,17.89174734,Rural,Free flow,32.59714301,16.0219672,1.107622929
24,73.36440679,City,Free flow,23.29753406,2.373987792,0.234252289
13,12.80840184,Highway,Free flow,-0.10412271,5.454936516,1.006945884
26,87.00690003,Highway,Free flow,-4.882448484,1.020082968,0.539137219
7,106.6111371,Rural,Heavy,10.9991304,11.03565097,1.917455699
27,68.78911978,Highway,Heavy,28.08433565,3.555325044,0.633478717
15,111.7158138,City,Heavy,-3.679077758,1.110954992,1.020239817
23,36.27598849,Rural,Free flow,31.00735328,19.03191004,1.38983269
29,80.25607188,City,Moderate,17.65364396,13.39294174,1.450070667
23,82.09443248,Rural,Heavy,36.46504999,16.34144303,1.292178162
23,23.98167109,Highway,Moderate,5.891314218,3.18826673,1.438633855
8,20.10754933,Highway,Heavy,30.11208824,3.010799203,0.69326363
6,46.96687973,Rural,Moderate,20.94133973,13.69700017,0.987671343
3,56.19602387,Rural,Heavy,11.86361742,8.157588097,1.69523809
3,27.95904631,Highway,Heavy,26.65663454,7.301082421,1.233935367
29,63.34756609,Rural,Free flow,-7.757567577,16.872306,0.473039805
23,86.01576352,City,Free flow,3.219877815,3.052983656,1.134821945
12,108.1459757,Highway,Free flow,14.42837896,16.55402598,1.735739439
12,12.83232762,Rural,Free flow,25.44805181,11.34669466,0.960570787
19,39.60849605,City,Heavy,0.282405285,6.916883935,0.485996194
23,118.5275466,Rural,Heavy,23.8381546,16.34506132,0.695474404
14,17.78629318,City,Heavy,28.09498025,7.820299279,1.51533607
5,89.99009065,City,Moderate,6.552000871,1.344559028,0.543597226
7,44.10475064,City,Heavy,19.6504614,9.658953873,0.612724167
20,70.12051633,Rural,Heavy,18.08385727,15.18229,1.822230758
15,49.68008195,Rural,Heavy,15.05407763,14.46422878,0.225693396
24,49.96911354,Highway,Moderate,-9.627820572,19.13923744,1.933549755
19,104.9327982,Highway,Free flow,-7.674946804,14.13217764,0.242232481
7,11.30309485,City,Free flow,25.59642186,6.574561133,1.935834771
1,49.4727027,Rural,Moderate,33.09859471,10.81354282,1.306371207
29,41.9754757,City,Heavy,-3.682189216,3.413996109,0.174889435
14,77.54246208,Rural,Moderate,-1.045537913,1.373581458,0.317928319
20,11.11636424,Highway,Free flow,3.766615028,11.14751186,1.256525288
17,65.55576839,City,Heavy,30.50850833,19.21908646,1.319068637
6,51.62401161,Rural,Moderate,24.22703341,17.05353185,1.101687669
6,37.83014916,Rural,Heavy,-4.189968641,12.86196262,1.602397809
6,73.42020655,Rural,Free flow,27.76822185,12.98670856,1.691900349
6,53.35732972,Highway,Moderate,4.005518159,13.35248923,0.957703501
18,95.02222353,City,Heavy,1.018990718,6.771107645,0.107577386
3,92.4403346,Rural,Moderate,32.39768912,0.699761302,1.568412479
8,80.42072305,Highway,Moderate,-2.10722818,16.70740136,0.536250955
12,54.68632561,Rural,Moderate,17.88583926,14.56457986,1.134209066
3,20.72772491,Highway,Free flow,22.61311628,0.626528487,1.080879938
20,117.4121069,City,Moderate,-4.196614781,16.96478157,1.113071455
10,86.07130218,City,Moderate,39.41099142,2.176123266,1.911986778
18,76.82630452,City,Moderate,36.32558732,8.956385502,0.868971029
7,69.57180107,City,Free flow,1.395535861,11.95176047,1.053035495
19,86.06056705,Rural,Moderate,6.300585583,18.93857963,1.72005258
15,83.36065302,Highway,Heavy,1.995715161,12.37624984,1.00694151
6,27.7231411,City,Heavy,21.55176863,13.6906512,1.272972812
14,102.9795213,Highway,Free flow,10.7411083,9.120403786,1.959372498
23,55.96369426,City,Moderate,24.63567319,3.837192038,1.679455935
28,63.67626988,Highway,Moderate,14.64743111,18.1918113,0.887299393
5,117.8758124,City,Moderate,27.02367526,16.47076416,0.231644821
22,16.48918443,Rural,Free flow,37.78883121,11.12465091,0.660026267
19,8.593429451,City,Heavy,8.342545169,12.42402698,1.996408245
22,119.7057314,Highway,Heavy,17.10635242,4.083917882,1.191064362
23,91.00922285,Highway,Moderate,1.104810396,10.28828977,1.639908096
12,96.76804322,Highway,Free flow,37.05680215,1.604408706,1.755182413
8,113.1729681,Rural,Free flow,26.59543055,19.12957101,0.63472502
11,72.65100551,Rural,Heavy,-7.267345854,18.1883767,0.991447778
26,19.0386204,Rural,Free flow,-2.409300572,11.42563306,1.41149199
12,56.03499583,Highway,Moderate,27.67305529,6.652712511,0.498802843
23,3.678070885,City,Heavy,-1.339688548,16.79994668,1.157204019
24,16.68409906,Highway,Heavy,-0.254138613,18.82980862,0.818775669
11,52.73902398,City,Free flow,7.995044485,9.681015194,0.943792676
10,95.76186224,Rural,Moderate,7.786975692,3.253770222,0.742959457
4,1.167105016,City,Moderate,13.31429445,7.728142483,1.178261644
12,85.48651627,Rural,Heavy,11.61036786,11.25969992,0.362521658
17,63.55258249,Rural,Free flow,12.3273076,1.034232547,1.685258632
20,9.815893659,Rural,Moderate,27.98082142,10.82527765,1.062401005
11,77.17122699,Rural,Moderate,10.04732888,3.876763746,0.412456039
8,101.1617226,Highway,Moderate,20.0299162,7.436105625,0.211304571
22,108.511957,Rural,Free flow,20.91418901,12.35523306,1.932153532
23,52.90468458,Highway,Free flow,35.09315056,3.031319161,1.885450482
22,109.8541642,City,Heavy,-5.518253522,3.073327334,0.193584473
16,30.83640933,Highway,Moderate,-7.97271898,5.411744093,1.276614279
3,43.39443768,City,Heavy,32.88448334,5.255147461,0.282505861
0,103.6644177,Highway,Heavy,33.00822186,6.560197498,1.400868246
12,30.98435514,Highway,Moderate,39.11329146,11.01375968,0.615381081
5,0.850376094,Highway,Heavy,-6.142208673,3.338822076,1.862901637
11,22.50877894,City,Free flow,-6.830587427,9.431489633,0.273758256
4,92.11429474,Rural,Heavy,34.6489903,0.480437877,1.886339981
8,26.73190517,City,Moderate,-3.682224099,19.51579932,0.133903886
4,11.59046763,Rural,Free flow,2.690250266,18.22784062,1.326074693
22,52.35231361,Rural,Heavy,22.54308136,3.641842907,0.223427593
20,2.475195842,Highway,Heavy,16.99252816,11.63008958,0.910699847
2,1.33401388,Highway,Free flow,6.921200823,16.71665823,1.658552648
22,92.43351026,Rural,Heavy,32.56109683,16.53471942,0.420955157
6,100.0853299,City,Free flow,-3.215620184,16.52585038,1.903873969
10,70.36350054,City,Free flow,38.06671132,17.45427872,0.149753373
2,37.05826963,Rural,Free flow,22.19884855,18.63667044,1.562804776
29,84.08391853,City,Moderate,23.57506273,4.183409566,0.519786081
5,103.400071,Rural,Moderate,-8.01193122,18.73896978,0.252560035
12,52.92067211,Rural,Moderate,30.48201082,9.730085457,1.353237071
8,11.21747051,Highway,Free flow,39.01029705,0.449241392,1.531763264
15,7.1594668,Rural,Heavy,34.39827596,17.40232376,1.133868777
23,5.390406629,City,Free flow,4.621652048,0.632009347,1.299248385
1,66.80286977,Highway,Free flow,7.26828351,16.08431865,1.351338974
22,94.76334153,City,Moderate,10.43758129,11.69299365,0.238564657
16,89.51601695,City,Free flow,-1.078149688,13.48056529,1.952605796
13,59.34186606,City,Heavy,26.07485383,13.0657396,1.671461372
24,6.832194832,Rural,Moderate,-9.524281956,16.38408173,1.664607747
17,57.87793253,City,Moderate,-7.325518699,14.21525933,1.913311893
13,22.69552042,Rural,Moderate,14.62562328,9.607257303,1.666777601
5,112.4879131,Highway,Free flow,6.52550409,13.7314996,0.85407701
5,36.34739314,Highway,Heavy,1.978022,9.876057055,0.336269447
25,59.76124726,Rural,Heavy,28.39952342,16.97025904,0.827060957
3,20.7674339,Rural,Free flow,31.31332137,17.96579022,1.939331549
13,50.62040788,Rural,Heavy,-1.013879404,11.00828175,0.399923372
25,60.00088312,Highway,Heavy,14.69767366,3.912255474,0.257011663
18,51.29759652,City,Heavy,34.02965273,0.775083825,1.972045162
0,88.53927928,Highway,Free flow,34.85453804,17.85407805,0.14418476
5,82.10372922,Highway,Free flow,32.31716441,14.25006073,0.754101732
11,77.75571659,Rural,Heavy,39.01771449,16.54777624,0.738059681
13,102.1250938,Highway,Free flow,24.15040754,13.75975607,1.087054902
1,90.21744916,City,Moderate,28.06025855,19.51773268,0.254327615
1,95.5534054,Highway,Moderate,7.819650882,15.9905645,1.206104648
16,53.85166661,Highway,Free flow,-0.794042852,3.294964823,1.402159321
10,45.93487055,City,Moderate,12.42652067,11.43038189,0.701139749
20,111.8375063,Rural,Free flow,38.89198271,2.462285024,0.837226722
17,59.90202293,Highway,Moderate,-0.87506929,1.883117078,0.555095391
7,100.547601,Highway,Free flow,1.109996855,14.37372885,1.892002296
9,116.5980598,City,Free flow,-1.727866117,12.67960496,1.245495111
8,34.54083517,City,Heavy,20.1407911,12.54836843,1.309503323
23,15.38978468,Highway,Free flow,25.18824576,11.40837777,1.131151209
11,115.6666642,City,Free flow,27.57160096,16.34456066,1.567090222
24,70.46425559,Rural,Heavy,12.93401394,10.61554406,0.297852642
10,24.07800186,Rural,Moderate,-6.821701024,10.69647677,1.998915446
17,19.01871878,Highway,Moderate,30.36940867,11.82624313,1.13452103
14,85.68585593,Rural,Heavy,23.85895737,2.618293984,0.585633479
0,0.863154721,City,Heavy,13.51459447,12.31641071,0.838364509
3,18.08773011,Rural,Moderate,3.202786936,13.78725694,1.110227303
12,55.28388157,City,Moderate,18.60763456,7.457164931,0.855382059
25,75.57613293,Rural,Free flow,32.52816483,12.18391962,0.907754899
3,30.17591646,Rural,Free flow,27.88845842,14.26830635,0.13519021
9,25.76802029,Highway,Moderate,17.03715236,6.726466812,1.985040914
29,87.79920231,City,Moderate,37.83659453,16.8948288,1.865491796
20,56.44075376,Highway,Free flow,21.87376289,11.87409939,0.384307551
8,85.03568376,City,Free flow,-2.415373141,7.903117807,0.191517723
28,118.0224369,Highway,Free flow,27.27147796,12.80727122,1.003023624
3,119.0134286,City,Moderate,1.048512111,19.49792044,1.524070619
12,42.57062054,Rural,Heavy,30.89062319,7.065552517,0.976457089
24,6.713753592,City,Heavy,25.16176932,8.099557189,0.626687887
1,106.1485448,City,Free flow,14.14002624,11.95250657,0.267261122
26,48.99520725,Rural,Free flow,2.938014381,4.042176066,0.478341881
28,38.3044723,Highway,Heavy,35.99119177,3.779626382,1.081929703
26,60.91324599,City,Free flow,3.293437481,16.72308651,0.189641168
26,16.73575855,Rural,Free flow,-6.798039346,11.15812701,0.577238972
14,104.3483694,Highway,Free flow,-7.710836742,14.97853531,0.474220175
22,3.278341397,Highway,Free flow,30.09981435,13.05235751,1.404742975
18,0.389751391,Rural,Free flow,33.35482458,10.49094048,0.713547897
24,108.1773098,City,Moderate,13.31013522,19.9704929,1.140989704
29,66.38842454,Highway,Free flow,16.92779137,0.423657945,1.12376655
9,39.84096136,Rural,Moderate,1.757175495,19.2833596,0.975157905
13,97.82662251,Rural,Moderate,2.165245706,12.24707387,0.916286554
12,12.75538326,City,Moderate,34.12391138,15.0688189,0.439086624
21,58.48252451,Highway,Moderate,-1.343575264,14.8419246,1.658438006
8,89.09952726,City,Moderate,10.43973365,17.01629033,0.733930821
13,68.3425376,Rural,Moderate,5.193153832,7.951895182,0.182576281
4,117.9751692,City,Heavy,9.843552552,13.30996525,0.443924207
7,99.12984836,City,Moderate,-5.400219712,16.85015882,1.475919462
21,10.75695219,City,Free flow,25.23949659,8.378675258,1.827271942
7,12.63276746,City,Free flow,12.2720802,15.03571476,0.829261449
18,85.52193793,Highway,Free flow,28.88981471,9.348341842,0.377995703
1,23.66312308,Highway,Free flow,6.521657292,7.378274485,0.61197259
13,15.55014445,Highway,Moderate,36.56223483,16.62880997,0.253635952
14,12.79357036,Rural,Heavy,18.22324601,17.75894587,1.190704232
15,95.78811766,City,Heavy,1.48477564,9.54379542,0.545634124
24,9.818268548,Highway,Free flow,2.973701293,4.034993741,0.241368142
18,15.28986226,City,Heavy,8.399139118,6.767075962,1.991459272
6,119.5392355,Highway,Heavy,9.853797734,16.41523663,0.347205817
4,74.73601662,Highway,Moderate,27.44778572,3.379443553,1.895339469
29,13.84970869,Highway,Free flow,4.727484991,1.469516518,1.664383527
25,59.28870929,City,Moderate,-1.638332563,17.80621591,1.154495236
11,88.83941817,Highway,Moderate,35.74576209,9.674452806,0.706005739
17,13.49408079,Highway,Free flow,-4.133652807,11.80698889,0.130994274
18,2.738487602,Highway,Heavy,36.47470837,1.506012763,0.406536577
19,65.98602714,City,Heavy,30.14589465,3.921292644,1.293601163
16,37.09145864,Rural,Free flow,7.137890683,15.7507373,0.155983262
25,32.18912318,City,Free flow,-2.374285835,16.97571626,0.528738239
26,14.32602046,City,Heavy,32.82475541,6.556651168,0.456199156
14,109.4969983,Highway,Moderate,19.52856435,15.75621311,1.465589814
20,116.9769321,Rural,Moderate,2.688092623,8.743922949,0.596365065
15,72.7711789,City,Heavy,31.99574433,19.64566092,0.54791664
23,86.57824913,Highway,Heavy,33.31243654,1.843058012,1.791824929
16,106.293883,City,Moderate,-1.171580054,11.23228882,1.444072969
8,81.53449729,Rural,Heavy,1.732245115,0.799660211,1.847681667
23,5.960244708,Highway,Moderate,37.53962389,4.629665033,1.099946698
11,7.716183707,City,Moderate,-7.526573261,1.14825693,0.9956423
27,60.29301511,City,Heavy,15.94539545,6.886286754,0.229812742
5,34.44679273,City,Moderate,-3.425963531,4.547990537,1.30102948
5,60.28826636,Highway,Heavy,23.80235753,16.30710385,0.383563484
20,87.32653156,Rural,Free flow,38.84706751,8.646407346,0.97892239
29,47.23324103,Rural,Free flow,31.56766436,12.63066258,1.758239393
20,87.23596134,Rural,Moderate,5.972575086,7.802427529,0.602966313
5,110.7928904,City,Free flow,7.670398987,12.33198984,1.35646179
14,72.50303409,City,Moderate,39.71884083,14.75560901,0.660402108
19,60.32655707,Rural,Moderate,7.307146322,15.0050226,1.24405669
27,40.5428555,Rural,Moderate,-2.345130268,19.80824351,1.862453848
17,8.060740427,Highway,Heavy,-7.079430961,3.547627025,1.530543812
24,6.493856136,Rural,Heavy,7.288968455,12.09748259,0.386228473
10,9.102454295,Highway,Heavy,35.40345222,3.515942487,0.21144916
19,78.9252803,Rural,Free flow,-2.255054412,8.881371548,1.514351564
16,53.22016591,City,Moderate,1.422649994,17.03235424,1.613953838
19,34.88397764,Rural,Heavy,15.44937419,8.531187841,0.889465335
25,109.2662701,City,Free flow,21.84064928,16.11440778,1.335501488
18,112.9971285,Rural,Moderate,14.40181914,0.56953216,1.2627454
12,95.47307098,Rural,Moderate,-1.73767165,16.82999977,1.14308007
22,66.84922104,Highway,Heavy,20.01777754,6.959304591,0.607040791
6,2.123030775,Highway,Moderate,21.03527484,18.75737449,1.022239324
22,6.571191743,Rural,Heavy,21.48097245,2.894378219,0.468573037
21,61.51937344,Highway,Heavy,-3.269748274,11.83586229,1.449518305
12,13.06107874,Rural,Heavy,30.46710875,4.403755854,1.695727826
8,8.511728205,Highway,Free flow,1.033779865,7.978407485,1.508467376
12,33.43804086,Rural,Heavy,31.85801019,14.60933999,1.180989877
15,108.7735582,Highway,Moderate,10.56767086,17.13493182,0.754830186
5,114.4904824,Rural,Free flow,35.00572411,5.672674166,0.80218873
3,44.27642514,Highway,Moderate,-4.956167157,10.1359792,0.190723425
11,74.38347154,City,Moderate,28.66624895,19.08359453,1.435708597
7,67.49647362,City,Heavy,7.054804133,10.92266428,1.177408504
1,42.67401962,Highway,Moderate,-2.413428004,18.2227673,1.727084884
16,24.98208307,Rural,Free flow,36.5044254,14.98813066,1.305984574
19,54.75361323,Highway,Heavy,-1.158539822,0.775436779,1.541767673
29,9.500040057,Highway,Heavy,-3.620255317,9.584113349,1.669473359
3,109.8574323,Rural,Free flow,5.831416303,9.487730726,1.605302324
18,1.1634202,Rural,Moderate,-1.257323344,1.278502177,0.142432608
5,90.36756555,Rural,Heavy,38.21081043,14.13255825,0.648754051
3,112.1799089,Rural,Moderate,1.863665358,18.52729027,1.54663438
7,110.5033878,Rural,Heavy,-8.529746141,5.691878188,1.623958002
12,49.10860765,Highway,Moderate,3.310218522,10.60139139,0.581926692
0,67.30890337,Highway,Free flow,20.34659153,16.73129777,1.477132567
17,13.54605822,Highway,Free flow,35.05618216,5.646053525,1.336771663
14,17.2223597,Highway,Moderate,-8.475103096,1.030451133,0.216413309
1,55.73679144,City,Heavy,14.04769113,11.9000754,1.84778666
21,14.43463121,Rural,Moderate,0.0014034,11.23604009,1.75268245
15,103.18497,Highway,Heavy,39.60030274,11.24484519,0.860749312
14,26.36251505,City,Moderate,24.48149003,18.64119573,0.365696761
27,113.863158,City,Free flow,16.9220891,19.54246098,0.206943646
24,111.5993019,Rural,Moderate,25.94689929,0.27634342,1.777026879
27,31.74709536,City,Moderate,5.320502514,2.56037564,0.408971742
6,98.89051346,Rural,Free flow,26.21235236,1.777762001,0.274771286
21,118.7627659,Rural,Heavy,0.080626553,7.635361565,1.338650244
11,56.24166225,City,Heavy,24.3938371,16.40217228,0.380265772
4,81.10256852,Highway,Heavy,4.574765641,14.99738123,0.565591892
19,42.80835227,Highway,Heavy,-3.57101054,11.95040829,0.958949047
3,49.7620663,City,Free flow,14.14709339,18.22477599,1.300073057
10,41.62342448,City,Free flow,2.308091876,17.76276128,1.469475621
28,59.36221786,Highway,Moderate,0.331551468,4.707595565,1.699763928
24,26.32760527,Highway,Moderate,-7.037636863,9.618902238,0.715741296
15,63.12523499,City,Heavy,28.6210319,13.85363221,0.419076033
17,8.684801162,City,Free flow,6.539630742,19.76192819,1.428981964
26,12.91709062,Highway,Heavy,36.29590443,11.98034787,0.151078676
4,77.64420295,Highway,Moderate,3.503063048,4.55080525,1.024482401
26,90.69208811,City,Free flow,22.48477588,9.822476022,0.850903778
1,38.58596496,Rural,Free flow,14.79635114,7.950809606,1.777700977
26,113.4853638,Highway,Moderate,-0.557310214,9.853218903,1.66260122
6,71.27328634,Rural,Free flow,29.14477295,3.930366968,1.571504725
14,92.96482416,Highway,Moderate,-1.742993121,0.914524977,0.70088905
23,51.01964936,Rural,Moderate,7.941722195,6.657396018,1.978370886
25,76.23109664,Highway,Heavy,-4.073536358,14.73680885,0.857213995
12,45.2111212,Highway,Heavy,4.663506081,1.224127819,0.131569267
26,64.87718975,Highway,Heavy,-5.393829259,7.273527306,1.942698814
8,27.66802587,City,Heavy,1.412314949,8.104812029,0.990982875
9,115.5169996,City,Heavy,33.89654451,0.804048895,1.857224021
26,63.31347976,City,Heavy,16.29246395,15.48502084,1.66464348
28,31.49159821,City,Heavy,17.27704761,8.079837025,0.851697293
27,74.77433857,Rural,Heavy,25.30735629,4.180783566,0.406793436
18,37.30441407,City,Moderate,38.027114,4.769976978,0.329466536
7,56.41437193,City,Moderate,24.12997938,13.75340801,0.611034498
5,42.28593109,Highway,Free flow,17.00241208,16.88221489,1.562121628
8,30.87510811,City,Heavy,16.34442804,19.79388181,0.328532487
26,61.05037112,City,Heavy,25.3470497,15.05964464,0.812887509
1,33.62434406,City,Free flow,5.621567233,4.437971345,0.238294655
13,107.9689309,City,Heavy,26.55055253,16.94194534,1.271580108
15,26.36525553,Highway,Free flow,0.47405208,15.65076006,1.189670705
22,98.44720236,Highway,Free flow,12.31227615,5.350626094,0.196485493
27,16.32317099,City,Free flow,-3.615463894,9.908280563,1.384391023
24,110.3809229,City,Free flow,19.48083849,7.883426909,0.529652581
3,15.23310379,City,Free flow,28.72356313,14.3602686,1.578259006
16,8.364561925,Rural,Moderate,21.34386727,10.55982774,1.294787456
13,7.303098217,City,Free flow,13.2731117,13.8362918,0.991417819
5,112.2176048,Rural,Moderate,20.96636986,13.56185339,0.278153038
24,45.61115349,City,Free flow,19.46018699,3.138429182,1.770974652
24,27.49850244,City,Heavy,3.19958736,17.41300428,0.785559769
3,36.63149148,Highway,Heavy,24.37090952,10.52408684,0.483200949
25,8.270786561,Highway,Free flow,-1.940896734,12.28446266,0.614519036
19,26.46816884,Highway,Heavy,-1.302443021,4.05317558,1.762070831
9,55.95083128,Highway,Moderate,30.57422123,18.68999558,1.401395278
23,96.30507086,City,Heavy,12.78089208,9.717352406,0.55869492
26,35.42759728,City,Heavy,22.60860667,2.160267863,1.682561165
6,49.7342623,Highway,Heavy,31.47356064,17.02910002,1.349776934
15,6.679967137,Rural,Free flow,12.08087521,16.11002611,0.197358343
24,47.55967845,City,Free flow,6.195842925,18.22729419,1.357836629
12,67.40075506,Rural,Moderate,18.57106072,5.511348574,0.285462573
16,102.4107923,Highway,Moderate,2.656510181,2.401586314,1.628109352
26,115.4470138,Highway,Moderate,12.93062876,3.291118776,0.382765206
7,50.30396519,City,Moderate,10.26724947,10.94371022,1.62337829
7,61.60905333,Rural,Heavy,-8.973790893,8.307871919,1.607767317
18,77.37302807,City,Heavy,22.98036982,0.493300036,0.375381362
21,3.999455397,City,Heavy,34.94637936,12.619315,1.480319623
9,98.07105732,City,Moderate,35.80246698,0.234108882,0.369087534
19,72.37933922,Highway,Moderate,31.89413106,1.112577289,1.90548107
15,49.98307786,City,Free flow,3.565720635,1.972419652,1.910140822
0,111.3165262,Highway,Moderate,18.00341899,7.564118461,0.743012538
28,107.4469992,Highway,Free flow,-7.091559608,9.21694281,0.82291519
20,4.791150133,Highway,Heavy,-4.656503615,14.66599478,0.21018727
16,6.646624149,City,Moderate,-2.318980931,3.767022463,0.138267744
0,56.58305825,Highway,Moderate,38.0525825,17.8625912,0.95362338
4,40.42734782,Rural,Free flow,24.65342511,17.90360926,0.371688031
5,44.51083922,Highway,Free flow,38.45672158,15.50771714,0.210451338
25,116.6888034,Highway,Heavy,8.270367162,18.38619039,0.943589232
1,27.95963857,City,Heavy,39.22550399,17.97039354,0.313274353
14,107.5781392,City,Heavy,16.51150025,13.2414884,0.440353005
14,19.49647639,Highway,Moderate,5.825708084,16.13697787,1.342488864
11,50.7309505,City,Free flow,-7.116532609,3.592821808,0.974773489
2,91.40981963,Highway,Heavy,35.25857093,2.481558311,1.692362973
8,94.34287129,Highway,Heavy,21.95787479,0.124159275,0.713419606
10,63.06061718,Rural,Free flow,35.5613017,4.977886681,1.730195223
21,38.22222919,City,Moderate,37.75046625,19.47138694,0.254373164
9,51.01402787,Rural,Free flow,-7.441102047,11.35491486,1.426227885
13,10.71834254,Highway,Free flow,17.33667183,13.11338576,0.347667516
26,0.174037991,Highway,Moderate,33.96056354,19.46522843,1.829833686
8,25.67716028,Highway,Heavy,-3.585325376,12.59789651,1.205413055
7,55.21179095,Highway,Free flow,9.291796238,18.0781402,1.764376918
9,15.43204275,Highway,Heavy,3.234844142,6.659638025,1.588298365
25,51.40744187,Rural,Heavy,38.0474023,2.128478882,1.612912549
29,8.880549084,City,Free flow,30.68152572,11.66609487,0.60905194
25,115.4298362,City,Heavy,29.71003391,4.227192285,0.185659976
10,89.37657036,Rural,Free flow,27.54526643,13.66411713,1.915438321
14,5.507264145,City,Heavy,2.234577732,16.78573357,1.865260325
11,24.14416162,Highway,Moderate,2.620721477,15.59071521,1.940774549
15,22.25174897,Rural,Free flow,21.84777521,0.454126338,1.923010615
5,114.9780897,City,Free flow,31.46840923,16.95053987,0.141760494
1,46.81397728,City,Free flow,-9.480921335,16.61491971,1.808736584
19,96.17300336,City,Heavy,23.84715646,0.471850921,0.161786999
25,24.80823668,City,Heavy,-7.290088556,16.00096786,0.318138786
21,14.60814828,Rural,Heavy,9.441122594,2.871783104,1.858087603
22,75.55508619,City,Heavy,-4.414705513,11.35034769,1.809452301
2,72.7040217,Rural,Free flow,31.35308702,8.841613959,1.744970677
20,12.20122757,City,Heavy,24.44831243,8.654147534,1.301032061
3,60.02697371,Highway,Moderate,5.782330637,12.37724532,1.259807368
19,78.58520866,Rural,Heavy,20.9826261,7.326621456,1.999224758
8,18.70067818,City,Moderate,-7.126668516,8.914274127,0.579621385
